AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
48,FEMALE,SEPARATED,1,WALK-IN,"8,611.39",2,PDNP,PASIG,15.0,OWNED,18.0,1.28,0.779,RETAIL,GLASSWARE/PLASTIC WARE
39,FEMALE,MARRIED,3,WALK-IN,"1,916.26",5,PDNP,PASIG,17.0,RENTED,9.0,2.14,1.75,RETAIL,BAG & SHOES RETAIL
37,FEMALE,SINGLE,4,WALK-IN,1.00,5,PDNP,PASIG,6.0,OWNED,16.0,1.45,0.6729999999999999,RETAIL,MINI GROCERY
31,FEMALE,SINGLE,2,PDC,1.00,5,PDNP,PASIG,15.0,SHARED/BORROWED,10.0,1.03,0.385,RETAIL,RTW
48,FEMALE,MARRIED,3,WALK-IN,"8,651.46",1,PDNP,PASIG,15.0,RENTED,3.0,3.1,1.2429999999999999,RETAIL,RTW
53,FEMALE,MARRIED,4,PDC,1.00,3,PDNP,PASIG,3.0,OWNED,30.0,3.44,16.804000000000002,WHOLESALE/RETAIL,GENERAL MERCHANDISE
61,FEMALE,SEPARATED,1,PDC,1.00,2,PDNP,PASIG,4.0,OWNED,25.0,5.3,1.3459999999999999,RETAIL,SARI SARI STORE
35,FEMALE,SINGLE,2,WALK-IN,"51,079.09",3,PDNP,PASIG,5.0,RENTED,11.0,1.58,0.516,RETAIL,RTW
40,MALE,SINGLE,2,WALK-IN,1.00,1,PDNP,ANB,2.0,SHARED/BORROWED,38.0,1.0,,SERVICES,BAKERY
41,FEMALE,SINGLE,5,AUTO-DEBIT,1.00,1,PDNP,ANB,15.0,OWNED,15.0,1.71,,SERVICES,BARBEQUE/EVENTS ORGANIZER
50,FEMALE,MARRIED,2,WALK-IN,1.00,1,PDNP,ANB,8.0,OWNED,10.0,1.08,1.371,RETAIL,FRUITS RETAIL
37,MALE,MARRIED,2,COLLECTION,1.00,7,PDNP,ANB,4.0,RENTED,8.0,5.68,,RETAIL,GENERAL MERCHANDISE
48,FEMALE,SINGLE,0,WALK-IN,1.00,1,PDNP,ANB,1.0,RENTED,3.0,1.45,,RETAIL,GENERAL MERCHANDISE
52,FEMALE,MARRIED,4,WALK-IN,1.00,4,PDNP,ANB,7.0,OWNED,11.0,2.54,,SERVICES,CARINDERIA
51,FEMALE,MARRIED,3,WALK-IN,1.00,1,PDNP,ANB,3.0,OWNED,3.0,5.11,,RETAIL,SARI SARI STORE
56,MALE,SINGLE,4,WALK-IN,1.00,1,PDNP,ANB,3.0,RENTED,3.0,1.74,0.898,WHOLESALE/RETAIL,MEAT SHOP
63,FEMALE,WIDOW,2,WALK-IN,1.00,1,PDNP,PASIG,11.0,RENTED,5.0,1.38,,RETAIL,FRUITS RETAIL
42,FEMALE,MARRIED,5,PDC,1.00,3,PDNP,SMB,4.0,RENTED,5.0,2.27,0.6459999999999999,SERVICES,TRAVEL AGENCY
36,FEMALE,MARRIED,2,PDC,1.00,7,PDNP,SMB,2.0,OWNED,3.0,3.66,0.871,WHOLESALE/RETAIL,SARI SARI STORE
46,FEMALE,MARRIED,5,WALK-IN,1.00,3,PDNP,SMB,13.0,OWNED,13.0,1.87,,SERVICES,CARINDERIA
55,FEMALE,MARRIED,4,WALK-IN,1.00,3,PDNP,SMB,25.0,OWNED,38.0,1.84,,SERVICES,SMOKED FISH
38,FEMALE,MARRIED,3,WALK-IN,1.00,3,PDNP,SMB,3.0,RENTED,7.0,2.0,,SERVICES,JUNK SHOP
32,FEMALE,MARRIED,3,WALK-IN,1.00,3,PDNP,SMB,8.0,SHARED/BORROWED,8.0,1.41,,SERVICES/RETAIL,CARINDERIA/SARI SARI STORE
43,FEMALE,MARRIED,4,WALK-IN,1.00,2,PDNP,PASIG,8.0,SHARED/BORROWED,6.0,1.46,,SERVICES/RETAIL,CARINDERIA/RTW
42,MALE,MARRIED,2,WALK-IN,"44,932.98",2,PDNP,PASIG,4.0,RENTED,10.0,1.21,1.0,RETAIL,UKAY UKAY ROLLING STORE
51,MALE,MARRIED,3,WALK-IN,919.64,1,PDNP,PASIG,15.0,SHARED/BORROWED,44.0,1.36,1.0,RETAIL,GENERAL MERCHANDISE
37,FEMALE,MARRIED,3,WALK-IN,"70,633.27",7,PDNP,PASIG,7.0,RENTED,2.0,1.35,0.152,RETAIL,FROZEN GOODS
40,FEMALE,SEPARATED,2,WALK-IN,1.00,2,PDNP,PASIG,6.0,RENTED,21.0,1.05,0.6,SERVICES,CARINDERIA
54,FEMALE,MARRIED,1,WALK-IN,1.00,8,PDNP,PASIG,7.0,OWNED,10.0,1.02,,RETAIL,SARI SARI STORE
45,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,15.0,RENTED,15.0,1.87,,RETAIL,FRUITS RETAIL
45,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,13.0,OWNED,15.0,1.09,3.36,RETAIL,FISH RETAIL
48,FEMALE,MARRIED,4,WALK-IN,"33,138.74",24,PDNP,PASIG,7.0,RENTED,11.0,1.28,0.47,WHOLESALE/RETAIL,ULING
51,FEMALE,SEPARATED,3,WALK-IN,1.00,1,PDNP,PASIG,15.0,SHARED/BORROWED,8.0,1.19,0.975,RETAIL,FISH RETAIL
42,MALE,MARRIED,3,PDC,"33,014.93",5,PDNP,PASIG,2.0,OWNED,5.0,1.08,0.8270000000000001,RETAIL,PHARMACY
51,FEMALE,MARRIED,4,WALK-IN,1.00,3,PDNP,PASIG,6.0,SHARED/BORROWED,11.0,5.91,,WHOLESALE/RETAIL,ULING
48,FEMALE,MARRIED,4,WALK-IN,"3,603.23",2,PDNP,PASIG,8.0,OWNED,25.0,1.26,0.932,RETAIL,SARI SARI STORE
