AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
52,MALE,MARRIED,3,WALK-IN,0,15,CURT,Pasig II,5.0,RENTED,11.0," 242,022.96 "," 225,000.00 "
45,FEMALE,MARRIED,3,WALK-IN,0,18,CURT,Pasig I,8.0,RENTED,12.0," 116,880.65 ",                               -  
35,MALE,MARRIED,2,PDC,0,3,CURT,Pasig I,9.0,OWNED,19.0," 328,727.07 "," 72,650.00 "
59,FEMALE,MARRIED,2,WALK-IN,0,3,CURT,Pasig I,16.0,OWNED,30.0," 386,364.01 "," 100,000.00 "
58,FEMALE,SINGLE,0,WALK-IN,0,32,CURT,Pasig II,6.0,RENTED,12.0," 110,285.42 "," 32,000.00 "
43,FEMALE,SINGLE,0,PDC," 8,082.76 ",2,PDNP,Pasig I,6.0,BORROWED/SHARED,6.0," 273,254.65 "," 105,416.67 "
38,FEMALE,MARRIED,2,PDC,0,9,CURT,Pasig I,12.0,RENTED,12.0," 165,358.11 "," 50,000.00 "
39,FEMALE,SINGLE,3,WALK-IN,0,7,CURT,Pasig I,5.0,RENTED,15.0," 125,017.29 "," 80,000.00 "
44,FEMALE,MARRIED,2,PDC,0,4,CURT,Pasig II,15.0,RENTED,14.0," 326,379.96 "," 223,000.00 "
50,FEMALE,SINGLE,3,WALK-IN,0,4,CURT,Pasig I,14.0,OWNED,30.0," 65,913.95 ",                               -  
58,FEMALE,MARRIED,2,PDC,0,12,CURT,Pasig II,3.0,OWNED,25.0," 415,165.51 "," 300,000.00 "
36,FEMALE,SINGLE,0,WALK-IN,0,2,CURT,Pasig II,14.0,RENTED,14.0," 512,472.17 "," 252,000.00 "
40,MALE,SINGLE,3,WALK-IN,0,4,CURT,Pasig I,15.0,RENTED,14.0," 251,499.51 "," 100,000.00 "
56,FEMALE,MARRIED,4,WALK-IN,0,21,CURT,Pasig II,12.0,OWNED,54.0," 153,793.02 "," 32,000.00 "
29,MALE,SINGLE,0,PDC,0,6,CURT,Pasig II,4.0,RENTED,8.0," 349,752.11 "," 167,500.00 "
40,FEMALE,SEPARATED,1,WALK-IN,0,12,CURT,Pasig II,3.0,OWNED,25.0," 197,181.44 "," 44,500.00 "
41,FEMALE,MARRIED,4,WALK-IN,0,3,CURT,Pasig I,18.0,OWNED,12.0," 71,265.67 "," 200,000.00 "
64,FEMALE,MARRIED,0,WALK-IN,0,5,CURT,Pasig II,18.0,RENTED,18.0," 84,972.19 ",                               -  
46,FEMALE,SINGLE,1,PDC,0,1,CURT,Pasig I,19.0,OWNED,46.0," 404,958.09 "," 500,000.00 "
34,MALE,SINGLE,0,WALK-IN,0,22,CURT,Pasig II,12.0,OWNED,24.0," 566,007.23 "," 170,000.00 "
48,FEMALE,MARRIED,2,WALK-IN,0,2,CURT,Pasig II,12.0,OWNED,6.0," 274,714.63 "," 204,000.00 "
37,FEMALE,MARRIED,4,WALK-IN," 17,560.74 ",1,PDNP,Pasig II,10.0,OWNED,15.0," 80,240.08 "," 70,000.00 "
49,FEMALE,MARRIED,1,PDC," 14,909.04 ",2,PDNP,Pasig II,8.0,RENTED,6.0," 135,532.36 "," 60,000.00 "
59,MALE,MARRIED,1,PDC," 23,346.12 ",2,PDNP,Pasig II,10.0,OWNED,22.0," 125,769.49 ",                               -  
42,MALE,MARRIED,6,PDC,0,3,CURT,Pasig II,3.0,OWNED,3.0," 194,887.27 "," 89,000.00 "
56,MALE,MARRIED,2,PDC,0,3,CURT,Pasig I,33.0,RENTED,6.0," 213,984.18 "," 204,000.00 "
46,FEMALE,MARRIED,4,PDC,0,3,CURT,Pasig II,3.0,RENTED,3.0," 181,920.78 "," 120,000.00 "
32,MALE,SEPARATED,1,PDC,0,4,CURT,Pasig II,15.0,OWNED,31.0," 185,065.49 ",                               -  
61,FEMALE,MARRIED,1,PDC,0,17,CURT,Pasig I,22.0,OWNED,26.0," 91,056.10 ",                               -  
43,FEMALE,MARRIED,4,WALK-IN,0,7,CURT,Pasig I,16.0,OWNED,17.0," 194,258.03 "," 60,000.00 "
34,MALE,MARRIED,2,WALK-IN,0,7,CURT,Pasig II,4.0,OWNED,19.0," 105,626.69 "," 57,000.00 "
41,FEMALE,MARRIED,2,WALK-IN,0,5,CURT,Pasig I,2.0,OWNED,10.0," 422,586.15 "," 148,991.00 "
32,MALE,MARRIED,3,PDC," 173,907.33 ",2,PDNP,Past Due August 2016 to present-Inactive AO,4.0,RENTED,31.0," 483,422.31 "," 2,750,000.00 "
53,FEMALE,WIDOW,1,PDC,0,9,CURT,Pasig II,5.0,OWNED,5.0," 140,441.75 ",                               -  
32,FEMALE,MARRIED,2,PDC," 33,522.17 ",1,PDNP,Pasig II,4.0,OWNED,29.0," 349,980.31 "," 401,000.00 "
33,MALE,MARRIED,3,BDO,0,14,CURT,Pasig I,7.0,RENTED,12.0," 160,862.82 "," 80,000.00 "
61,FEMALE,WIDOW,0,PDC,0,16,CURT,Pasig I,23.0,RENTED,13.0," 115,208.26 ",                               -  
32,FEMALE,MARRIED,3,WALK-IN,0,2,CURT,Pasig II,7.0,BORROWED/SHARED,16.0," 59,699.24 "," 34,500.00 "
33,FEMALE,SINGLE,2,PDC,0,1,CURT,Pasig II,4.0,RENTED,3.0," 183,618.19 "," 100,000.00 "
28,FEMALE,MARRIED,3,PDC,0,2,CURT,Pasig I,3.0,OWNED,10.0," 194,040.23 "," 216,000.00 "
54,FEMALE,MARRIED,3,PDC," 11,271.05 ",2,PDNP,Pasig I,7.0,OWNED,12.0," 84,006.68 "," 59,500.00 "
41,FEMALE,MARRIED,3,PDC," 9,514.53 ",14,PDNP,Pasig I,4.0,OWNED,40.0," 325,203.46 "," 150,000.00 "
41,FEMALE,MARRIED,1,WALK-IN,0,11,CURT,Pasig II,12.0,OWNED,12.0," 512,765.33 "," 300,000.00 "
35,FEMALE,SINGLE,0,PDC," 36,554.12 ",2,PDNP,Pasig I,3.0,MORTGAGED,11.0," 249,509.25 ",                               -  
30,MALE,SINGLE,1,PDC," 8,090.53 ",2,PDNP,Pasig II,10.0,OWNED,27.0," 99,869.60 "," 42,467.00 "
41,FEMALE,MARRIED,3,PDC,0,14,CURT,Pasig I,4.0,OWNED,40.0," 325,203.46 "," 150,000.00 "
37,FEMALE,MARRIED,3,PDC,0,5,CURT,Pasig II,3.0,MORTGAGED,4.0," 384,053.71 "," 103,000.00 "
62,FEMALE,MARRIED,2,PDC,0,20,CURT,Pasig I,31.0,OWNED,16.0," 300,665.05 "," 150,000.00 "
36,MALE,MARRIED,2,PDC,0,10,CURT,Pasig II,3.0,RENTED,3.0," 467,333.23 "," 416,000.00 "
41,FEMALE,MARRIED,2,PDC,0,5,CURT,Pasig II,4.0,OWNED,23.0," 305,206.95 "," 120,000.00 "
52,FEMALE,MARRIED,1,WALK-IN,0,9,CURT,Pasig II,8.0,OWNED,24.0," 155,257.78 "," 70,000.00 "
51,FEMALE,WIDOW,1,PDC,0,10,CURT,Pasig I,20.0,RENTED,25.0," 66,785.31 "," 50,000.00 "
64,MALE,MARRIED,2,PDC,0,10,CURT,Pasig II,7.0,RENTED,13.0," 317,993.96 ",                               -  
41,MALE,SINGLE,2,WALK-IN,0,4,CURT,Pasig I,3.0,OWNED,3.0," 202,456.43 ",                               -  
40,MALE,MARRIED,4,WALK-IN," 7,602.85 ",2,PDNP,Pasig II,3.0,RENTED,24.0," 306,905.23 ",                               -  
46,MALE,MARRIED,5,WALK-IN,0,6,CURT,Pasig II,5.0,RENTED,46.0," 210,646.89 "," 35,000.00 "
46,FEMALE,MARRIED,2,PDC,0,3,CURT,Pasig II,5.0,OWNED,5.0," 233,436.83 "," 99,000.00 "
62,MALE,SINGLE,2,PDC,0,8,CURT,Pasig II,6.0,RENTED,6.0," 342,175.68 "," 250,000.00 "
29,MALE,MARRIED,1,PDC," 72,953.88 ",1,PDNP,Pasig II,3.0,OWNED,3.0," 344,450.69 "," 110,000.00 "
46,FEMALE,MARRIED,2,PDC," 56,724.30 ",3,PDNP,Pasig I,8.0,OWNED,28.0," 314,571.36 "," 210,000.00 "
48,FEMALE,MARRIED,1,WALK-IN,0,11,CURT,Pasig II,6.0,OWNED,13.0," 377,037.71 "," 106,350.00 "
38,FEMALE,SINGLE,0,PDC,0,11,CURT,Pasig I,8.0,OWNED,8.0," 680,440.77 "," 69,000.00 "
37,FEMALE,MARRIED,2,PDC,0,3,CURT,Pasig II,5.0,OWNED,29.0," 291,650.26 "," 399,000.00 "
58,MALE,MARRIED,1,PDC,0,2,CURT,Pasig II,20.0,RENTED,1.0," 284,601.04 ",                               -  
45,MALE,MARRIED,1,PDC," 29,423.03 ",1,PDNP,Pasig II,12.0,OWNED,15.0," 403,555.65 ",                               -  
33,FEMALE,SINGLE,4,WALK-IN," 16,207.95 ",8,PDNP,Pasig II,8.0,OWNED,27.0," 900,225.34 "," 200,000.00 "
44,FEMALE,MARRIED,3,PDC," 25,797.26 ",1,PDNP,Pasig II,2.0,BORROWED/SHARED,2.0," 69,961.49 ",                               -  
44,FEMALE,MARRIED,0,PDC,0,7,CURT,Pasig II,9.0,OWNED,16.0," 1,456,329.89 "," 1,000,000.00 "
53,FEMALE,WIDOW,2,WALK-IN,0,3,CURT,Pasig I,16.0,OWNED,20.0," 303,152.86 "," 203,000.00 "
43,FEMALE,WIDOW,3,WALK-IN," 30,773.05 ",2,PDNP,Pasig I,14.0,OWNED,20.0," 136,639.48 ",                               -  
48,FEMALE,MARRIED,3,WALK-IN,0,4,CURT,Pasig I,9.0,OWNED,29.0," 213,660.87 "," 50,000.00 "
44,MALE,SINGLE,0,WALK-IN,0,18,CURT,Pasig II,5.0,OWNED,5.0," 841,259.18 "," 150,000.00 "
60,MALE,MARRIED,4,PDC,0,17,CURT,Pasig II,16.0,OWNED,18.0," 454,634.20 "," 250,000.00 "
44,FEMALE,MARRIED,2,WALK-IN," 27,891.61 ",8,PDNP,Pasig I,17.0,RENTED,15.0," 117,174.99 "," 166,666.67 "
39,FEMALE,SINGLE,0,PDC,0,17,CURT,Pasig I,7.0,OWNED,7.0," 627,264.35 "," 500,000.00 "
48,FEMALE,MARRIED,3,PDC," 18,342.08 ",3,PDNP,Pasig II,8.0,OWNED,18.0," 109,471.50 "," 60,000.00 "
42,MALE,MARRIED,2,PDC,0,6,CURT,Pasig II,2.0,OWNED,10.0," 378,350.04 "," 100,000.00 "
38,FEMALE,MARRIED,4,WALK-IN,0,8,CURT,Pasig I,5.0,RENTED,4.0," 187,560.29 "," 117,000.00 "
43,MALE,MARRIED,3,WALK-IN,0,1,CURT,Pasig II,15.0,BORROWED/SHARED,15.0," 116,764.09 "," 200,000.00 "
55,FEMALE,MARRIED,3,WALK-IN,0,5,CURT,Pasig I,3.0,RENTED,3.0," 341,422.74 "," 120,000.00 "
47,FEMALE,MARRIED,2,WALK-IN,0,14,CURT,Pasig I,17.0,OWNED,17.0," 210,853.22 "," 286,166.67 "
29,FEMALE,SINGLE,0,PDC,0,2,CURT,Pasig I,5.0,RENTED,4.0," 302,011.33 "," 351,000.00 "
49,MALE,MARRIED,2,WALK-IN,0,3,CURT,Pasig I,15.0,OWNED,15.0," 208,289.16 "," 53,066.67 "
55,FEMALE,MARRIED,3,WALK-IN,0,7,CURT,Pasig I,13.0,OWNED,14.0," 110,496.52 "," 50,000.00 "
41,MALE,SINGLE,1,WALK-IN,0,8,CURT,Pasig II,5.0,OWNED,10.0," 79,317.61 "," 50,000.00 "
29,MALE,MARRIED,1,WALK-IN,0,1,CURT,Pasig I,5.0,OWNED,3.0,                               -  ,                               -  
39,MALE,MARRIED,4,WALK-IN," 12,505.42 ",5,PDNP,Pasig I,8.0,RENTED,8.0," 172,429.59 "," 28,800.00 "
36,FEMALE,SINGLE,2,PDC,0,11,CURT,Pasig II,6.0,RENTED,4.0," 496,067.27 "," 230,000.00 "
48,FEMALE,SINGLE,2,PDC,0,4,CURT,Pasig I,4.0,OWNED,20.0," 367,859.37 "," 200,000.00 "
47,FEMALE,MARRIED,3,WALK-IN,0,14,CURT,Pasig II,24.0,OWNED,24.0," 79,602.87 "," 70,000.00 "
46,MALE,SINGLE,1,WALK-IN,0,20,CURT,Pasig I,12.0,OWNED,12.0," 416,928.27 "," 300,000.00 "
61,FEMALE,MARRIED,2,WALK-IN,0,24,CURT,Pasig II,20.0,OWNED,34.0," 310,611.57 ",                               -  
56,FEMALE,SINGLE,0,PDC,0,25,CURT,Pasig I,18.0,OWNED,34.0," 383,566.61 "," 200,000.00 "
57,MALE,MARRIED,2,WALK-IN,0,11,CURT,Pasig I,4.0,OWNED,30.0," 154,081.67 ",                               -  
50,FEMALE,MARRIED,4,WALK-IN,0,5,CURT,Pasig II,10.0,OWNED,18.0," 148,194.88 "," 22,500.00 "
43,MALE,MARRIED,1,PDC,0,9,CURT,Pasig II,15.0,RENTED,15.0," 481,263.28 ",                               -  
57,FEMALE,MARRIED,1,PDC,0,11,CURT,Pasig I,8.0,RENTED,9.0,                               -  ,                               -  
44,MALE,MARRIED,3,WALK-IN,0,2,CURT,Pasig II,3.0,OWNED,35.0," 105,895.23 "," 125,000.00 "
64,FEMALE,WIDOW,3,PDC,0,17,CURT,Pasig II,35.0,OWNED,17.0," 373,811.40 "," 245,000.00 "
51,FEMALE,SINGLE,0,WALK-IN,0,17,CURT,Pasig II,4.0,RENTED,9.0," 308,049.46 "," 80,000.00 "
40,FEMALE,SEPARATED,1,WALK-IN,0,11,CURT,Pasig II,13.0,OWNED,8.0," 937,640.08 "," 30,333.33 "
47,MALE,MARRIED,3,WALK-IN,0,3,CURT,Pasig I,8.0,MORTGAGED,9.0," 209,306.81 "," 142,500.00 "
47,FEMALE,SINGLE,2,PDC,0,1,CURT,Pasig II,10.0,RENTED,10.0," 195,716.75 "," 93,200.00 "
37,MALE,MARRIED,1,PDC,0,2,CURT,Pasig II,2.0,OWNED,9.0," 224,570.85 "," 220,000.00 "
48,FEMALE,SINGLE,3,WALK-IN,0,20,CURT,Pasig II,6.0,RENTED,11.0," 213,202.62 "," 40,000.00 "
28,FEMALE,MARRIED,1,WALK-IN," 87,074.87 ",1,PDNP,Pasig II,5.0,RENTED,3.0,                               -  ,                               -  
29,FEMALE,MARRIED,1,WALK-IN," 22,524.53 ",12,PDNP,Pasig II,3.0,RENTED,3.0,                               -  ,                               -  
61,FEMALE,MARRIED,1,WALK-IN,0,30,CURT,Pasig I,30.0,OWNED,35.0," 192,867.21 "," 30,000.00 "
42,FEMALE,MARRIED,1,PDC,0,3,CURT,Pasig II,16.0,OWNED,20.0," 165,178.36 "," 100,000.00 "
37,MALE,SINGLE,0,PDC,0,14,CURT,Pasig I,7.0,RENTED,11.0," 344,869.04 ",                               -  
28,MALE,SINGLE,2,PDC,0,1,CURT,Pasig II,3.0,RENTED,3.0,                               -  ,                               -  
40,MALE,SINGLE,3,WALK-IN,0,4,CURT,Pasig II,14.0,OWNED,20.0," 96,415.10 "," 40,000.00 "
53,FEMALE,MARRIED,4,WALK-IN,0,14,CURT,Pasig II,13.0,OWNED,0.0," 360,816.25 "," 250,000.00 "
44,FEMALE,MARRIED,5,PDC,0,10,CURT,Pasig I,10.0,MORTGAGED,10.0," 107,854.20 "," 90,000.00 "
40,FEMALE,MARRIED,0,WALK-IN,0,10,CURT,Pasig II,9.0,OWNED,22.0," 139,676.80 ",                               -  
47,FEMALE,MARRIED,1,WALK-IN,0,1,CURT,Pasig II,15.0,BORROWED/SHARED,15.0," 43,563.63 "," 300,000.00 "
30,MALE,MARRIED,1,PDC," 48,018.41 ",1,PDNP,Pasig II,2.0,OWNED,3.0," 344,450.69 "," 110,000.00 "
30,MALE,SINGLE,3,PDC,0,7,CURT,Pasig I,9.0,OWNED,9.0," 331,932.32 "," 148,551.67 "
48,FEMALE,MARRIED,2,PDC,0,21,CURT,Pasig II,29.0,OWNED,21.0," 343,238.24 "," 340,000.00 "
40,FEMALE,MARRIED,3,PDC,0,3,CURT,Pasig II,17.0,OWNED,21.0," 398,168.15 "," 200,000.00 "
41,FEMALE,SINGLE,0,PDC,0,17,CURT,Pasig I,11.0,BORROWED/SHARED,25.0," 417,578.38 "," 60,000.00 "
48,MALE,MARRIED,2,PDC,0,4,CURT,Pasig I,8.0,OWNED,15.0," 258,187.09 "," 292,500.00 "
54,FEMALE,MARRIED,4,WALK-IN,0,19,CURT,Pasig I,17.0,OWNED,30.0," 820,625.82 "," 300,000.00 "
30,MALE,MARRIED,2,WALK-IN," 6,658.69 ",5,PDNP,Pasig I,3.0,RENTED,3.0,                               -  ,                               -  
45,FEMALE,MARRIED,4,BDO,0,11,CURT,Pasig II,5.0,OWNED,26.0," 481,904.15 "," 217,000.00 "
57,FEMALE,MARRIED,2,PDC,0,1,CURT,Pasig I,30.0,OWNED,30.0," 112,540.02 "," 30,000.00 "
31,MALE,SINGLE,2,WALK-IN," 84,088.43 ",1,PDNP,Pasig II,3.0,RENTED,3.0,                               -  ,                               -  
52,FEMALE,MARRIED,4,PDC,0,21,CURT,Pasig I,16.0,OWNED,16.0," 386,124.76 "," 235,000.00 "
47,FEMALE,MARRIED,3,PDC,0,2,CURT,Pasig I,11.0,OWNED,3.0," 358,084.98 "," 300,000.00 "
51,FEMALE,MARRIED,3,WALK-IN,0,2,CURT,Pasig II,10.0,OWNED,15.0," 114,216.77 "," 28,600.00 "
52,FEMALE,MARRIED,2,WALK-IN," 32,327.96 ",2,PDNP,Pasig II,4.0,OWNED,11.0," 86,266.22 "," 16,700.00 "
54,FEMALE,SEPARATED,0,PDC,0,25,CURT,Pasig I,13.0,RENTED,13.0," 628,288.14 "," 300,000.00 "
60,MALE,MARRIED,0,PDC,0,4,CURT,Quezon City II,7.0,RENTED,7.0," 98,409.30 ",                               -  
31,FEMALE,MARRIED,0,WALK-IN,0,5,CURT,Quezon City II,4.0,RENTED,2.0," 220,623.13 "," 12,000.00 "
54,FEMALE,SINGLE,0,PDC,0,14,CURT,Quezon City II,8.0,OWNED,15.0," 143,337.12 "," 30,000.00 "
45,FEMALE,MARRIED,3,PDC,0,3,CURT,Quezon City II,15.0,OWNED,10.0," 188,749.49 "," 190,000.00 "
46,MALE,WIDOW,2,WALK-IN,0,4,CURT,Quezon City II,4.0,RENTED,6.0," 67,863.84 "," 50,000.00 "
56,FEMALE,MARRIED,1,WALK-IN,0,5,CURT,Quezon City II,5.0,RENTED,3.0," 108,251.05 "," 80,950.00 "
33,FEMALE,SINGLE,2,PDC,0,4,CURT,Quezon City II,5.0,OWNED,7.0," 70,893.63 "," 20,000.00 "
36,FEMALE,SINGLE,0,PDC,0,12,CURT,Quezon City II,6.0,OWNED,20.0," 65,000.00 "," 50,000.00 "
39,FEMALE,MARRIED,2,PDC,0,6,CURT,Quezon City II,6.0,OWNED,8.0," 157,382.20 "," 73,333.00 "
40,MALE,MARRIED,4,PDC,0,6,CURT,Quezon City II,8.0,OWNED,31.0," 176,844.17 ",                               -  
55,MALE,SINGLE,1,PDC,0,6,CURT,Quezon City II,15.0,OWNED,30.0," 335,283.00 "," 335,650.00 "
25,FEMALE,SINGLE,0,PDC,0,3,CURT,Quezon City II,3.0,OWNED,24.0," 174,875.99 ",                               -  
34,FEMALE,MARRIED,1,WALK-IN,0,2,CURT,Quezon City II,4.0,OWNED,11.0," 160,020.00 "," 93,000.00 "
32,FEMALE,SINGLE,0,PDC,0,1,CURT,Quezon City II,3.0,OWNED,20.0," 167,928.03 "," 393,333.00 "
32,MALE,SINGLE,0,PDC,0,3,CURT,Quezon City II,10.0,RENTED,20.0," 204,633.72 "," 100,000.00 "
53,FEMALE,SINGLE,4,PDC,0,9,CURT,Quezon City II,17.0,OWNED,20.0," 212,424.38 "," 100,000.00 "
59,FEMALE,MARRIED,0,WALK-IN,0,13,CURT,Quezon City II,5.0,OWNED,48.0," 181,319.42 "," 142,200.00 "
61,FEMALE,WIDOW,0,PDC,0,5,CURT,Quezon City II,31.0,OWNED,19.0," 393,671.87 "," 310,000.00 "
32,MALE,MARRIED,1,WALK-IN," 43,808.57 ",5,PDNP,Quezon City II,3.0,RENTED,3.0,                               -  ,                               -  
49,FEMALE,MARRIED,3,PDC,0,6,CURT,Quezon City II,5.0,OWNED,11.0," 103,036.34 "," 100,000.00 "
57,FEMALE,SINGLE,1,PDC,0,8,CURT,Quezon City II,8.0,OWNED,33.0," 186,861.99 ",                               -  
46,FEMALE,MARRIED,2,PDC,0,5,CURT,Quezon City II,9.0,RENTED,9.0," 178,734.21 "," 157,000.00 "
42,FEMALE,MARRIED,4,PDC,0,2,CURT,Quezon City II,10.0,OWNED,5.0," 108,718.51 "," 97,450.00 "
40,FEMALE,MARRIED,2,PDC," 24,015.33 ",5,PDNP,Quezon City II,9.0,MORTGAGED,16.0," 326,848.46 "," 200,000.00 "
41,FEMALE,MARRIED,3,WALK-IN,0,7,CURT,Quezon City II,9.0,OWNED,7.0," 130,306.74 "," 30,000.00 "
26,FEMALE,SINGLE,2,PDC,0,7,CURT,Quezon City II,3.0,RENTED,4.0," 149,119.57 "," 84,200.00 "
36,FEMALE,MARRIED,2,PDC,0,5,CURT,Quezon City II,5.0,OWNED,11.0," 200,909.76 "," 151,083.33 "
39,FEMALE,SINGLE,2,WALK-IN,0,12,CURT,Quezon City II,8.0,RENTED,9.0," 350,247.07 "," 270,000.00 "
41,MALE,MARRIED,4,PDC,0,4,CURT,Quezon City II,8.0,OWNED,33.0," 163,421.44 "," 109,167.00 "
34,FEMALE,MARRIED,1,WALK-IN,0,7,CURT,Quezon City II,6.0,OWNED,6.0," 103,670.78 "," 20,000.00 "
50,MALE,MARRIED,3,PDC,0,6,CURT,Quezon City II,4.0,OWNED,21.0," 151,432.78 "," 1,155,000.00 "
47,FEMALE,MARRIED,2,PDC,0,5,CURT,Quezon City II,10.0,OWNED,42.0," 219,407.08 "," 216,000.00 "
61,FEMALE,MARRIED,2,WALK-IN,0,28,CURT,Quezon City II,20.0,OWNED,34.0," 65,987.82 "," 50,000.00 "
46,FEMALE,MARRIED,4,PDC,0,10,CURT,Quezon City II,7.0,OWNED,12.0," 322,553.94 "," 257,783.33 "
41,FEMALE,MARRIED,2,PDC,0,7,CURT,Quezon City II,13.0,OWNED,13.0," 135,107.66 "," 88,000.00 "
59,FEMALE,SINGLE,2,PDC,0,9,CURT,Quezon City II,19.0,OWNED,21.0," 193,701.39 "," 163,000.00 "
57,MALE,MARRIED,1,WALK-IN,0,10,CURT,Quezon City II,8.0,OWNED,11.0," 231,002.97 "," 215,000.00 "
37,MALE,MARRIED,1,WALK-IN,0,11,CURT,Quezon City II,5.0,RENTED,6.0," 155,133.70 "," 135,000.00 "
65,FEMALE,MARRIED,2,WALK-IN,0,19,CURT,Quezon City II,16.0,OWNED,65.0," 203,228.88 "," 200,000.00 "
40,FEMALE,SINGLE,3,WALK-IN,0,4,CURT,Quezon City II,5.0,OWNED,15.0," 114,945.27 "," 230,000.00 "
44,FEMALE,MARRIED,0,PDC,0,7,CURT,Quezon City II,5.0,OWNED,18.0," 188,609.75 "," 214,500.00 "
53,FEMALE,MARRIED,2,PDC,0,14,CURT,Quezon City II,4.0,OWNED,13.0," 283,312.29 "," 195,000.00 "
49,FEMALE,MARRIED,4,PDC,0,3,CURT,Quezon City II,15.0,OWNED,15.0," 169,458.98 "," 85,000.00 "
56,FEMALE,MARRIED,4,PDC,0,13,CURT,Quezon City II,8.0,OWNED,5.0," 126,575.93 "," 40,000.00 "
37,FEMALE,MARRIED,3,WALK-IN,0,3,CURT,Quezon City II,3.0,OWNED,5.0," 81,024.87 "," 190,000.00 "
46,FEMALE,SINGLE,3,PDC,0,5,CURT,Quezon City II,9.0,OWNED,9.0," 117,193.12 "," 55,000.00 "
32,MALE,SINGLE,2,WALK-IN,0,8,CURT,Quezon City II,7.0,OWNED,21.0," 389,493.87 "," 270,000.00 "
46,FEMALE,SINGLE,1,PDC,0,5,CURT,Quezon City II,10.0,OWNED,44.0," 317,572.68 "," 250,000.00 "
61,MALE,MARRIED,4,PDC,0,21,CURT,Quezon City II,14.0,OWNED,58.0," 388,441.24 "," 300,000.00 "
40,MALE,SINGLE,1,PDC,0,6,CURT,Quezon City II,8.0,OWNED,9.0," 244,404.11 "," 215,000.00 "
39,MALE,SINGLE,5,PDC,0,12,CURT,Quezon City II,18.0,OWNED,20.0," 376,376.17 "," 300,000.00 "
41,FEMALE,MARRIED,3,PDC,0,8,CURT,Quezon City II,4.0,RENTED,8.0," 115,694.72 "," 100,000.00 "
34,FEMALE,SINGLE,4,PDC,0,22,CURT,Quezon City II,6.0,BORROWED/SHARED,10.0," 63,548.26 "," 63,000.00 "
42,MALE,SINGLE,0,PDC,0,8,CURT,Quezon City II,6.0,RENTED,7.0," 125,285.10 "," 128,514.53 "
42,FEMALE,SINGLE,3,PDC,0,6,CURT,Quezon City II,17.0,OWNED,40.0," 54,407.15 "," 40,000.00 "
51,FEMALE,SINGLE,3,PDC,0,2,CURT,Quezon City II,11.0,OWNED,9.0," 202,864.95 "," 50,000.00 "
52,FEMALE,MARRIED,3,WALK-IN,0,4,CURT,Quezon City II,20.0,OWNED,25.0," 203,741.31 "," 145,000.00 "
42,FEMALE,MARRIED,3,WALK-IN,0,24,CURT,Quezon City II,23.0,OWNED,13.0," 80,423.78 "," 70,000.00 "
59,FEMALE,SINGLE,1,PDC,0,34,CURT,Quezon City II,26.0,OWNED,56.0," 82,562.02 "," 80,000.00 "
42,MALE,MARRIED,4,PDC,0,11,CURT,Quezon City II,16.0,OWNED,30.0," 805,063.89 "," 110,000.00 "
28,MALE,SINGLE,3,PDC,0,5,CURT,Quezon City II,4.0,RENTED,7.0," 219,551.72 ",                               -  
32,MALE,MARRIED,3,WALK-IN,0,3,CURT,Quezon City II,3.0,OWNED,9.0," 167,833.78 ",                               -  
45,FEMALE,MARRIED,3,WALK-IN," 18,503.87 ",1,PDNP,Quezon City II,13.0,OWNED,13.0," 52,851.77 ",                               -  
46,FEMALE,MARRIED,4,PDC,0,4,CURT,Rizal,19.0,RENTED,19.0," 1,028,242.40 "," 300,000.00 "
41,MALE,MARRIED,5,PDC," 49,193.81 ",1,PDNP,Rizal,16.0,RENTED,4.0," 436,509.41 "," 200,000.00 "
33,MALE,SINGLE,2,PDC,0,2,CURT,Rizal,4.0,OWNED,11.0," 195,788.20 ",                               -  
44,FEMALE,SINGLE,3,WALK-IN,0,1,CURT,Rizal,3.0,OWNED,8.0," 295,327.14 "," 300,000.00 "
37,FEMALE,MARRIED,4,WALK-IN," 25,047.04 ",1,PDNP,Rizal,5.0,OWNED,31.0," 117,620.04 "," 100,000.00 "
38,FEMALE,SEPARATED,2,PDC,0,4,CURT,Rizal,10.0,OWNED,11.0," 1,001,277.28 "," 300,000.00 "
47,FEMALE,SINGLE,1,WALK-IN,0,20,CURT,Rizal,26.0,OWNED,26.0," 293,076.13 "," 200,000.00 "
29,FEMALE,MARRIED,1,WALK-IN,0,2,CURT,Rizal,7.0,RENTED,7.0," 157,265.72 "," 191,333.33 "
48,MALE,MARRIED,3,WALK-IN,0,12,CURT,Rizal,34.0,OWNED,48.0," 242,831.12 "," 30,000.00 "
39,FEMALE,MARRIED,2,PDC,0,2,CURT,Rizal,10.0,OWNED,10.0," 276,261.51 "," 97,400.00 "
45,MALE,MARRIED,0,PDC,0,2,CURT,Rizal,14.0,OWNED,45.0," 102,710.51 "," 179,100.00 "
40,MALE,MARRIED,3,PDC,0,2,CURT,Rizal,5.0,RENTED,5.0," 126,002.07 "," 75,000.00 "
49,MALE,MARRIED,2,PDC,0,6,CURT,Rizal,8.0,OWNED,29.0," 223,555.53 "," 1,080,000.00 "
