AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
27,FEMALE,SINGLE,2,WALK-IN," 33,686.78 ",4,PDNP,Quezon City I,27.0,OWNED,27.0," 166,891.78 "," 150,000.00 "
52,FEMALE,SINGLE,4,WALK-IN,0,3,CURT,Quezon City I,19.0,OWNED,30.0," 130,626.17 "," 35,000.00 "
43,MALE,MARRIED,4,WALK-IN,0,3,CURT,Quezon City I,15.0,OWNED,4.0," 169,474.07 "," 160,000.00 "
37,MALE,MARRIED,2,PDC,0,4,CURT,Quezon City I,11.0,OWNED,36.0," 661,940.18 "," 265,000.00 "
42,FEMALE,MARRIED,2,PDC,0,4,CURT,Quezon City I,12.0,OWNED,13.0," 329,297.99 "," 275,000.00 "
50,MALE,MARRIED,3,PDC,0,3,CURT,Quezon City I,22.0,OWNED,22.0," 213,110.09 "," 100,000.00 "
39,FEMALE,SEPARATED,3,PDC,0,6,CURT,Quezon City I,7.0,OWNED,20.0," 640,842.72 "," 440,000.00 "
47,FEMALE,WIDOW,2,PDC,0,6,CURT,Quezon City I,20.0,BORROWED/SHARED,26.0," 211,260.49 "," 150,000.00 "
42,FEMALE,SINGLE,3,PDC,0,2,CURT,Quezon City I,2.0,OWNED,6.0," 180,395.17 "," 150,000.00 "
60,FEMALE,MARRIED,2,PDC,0,4,CURT,Quezon City I,20.0,OWNED,20.0," 467,470.33 "," 480,000.00 "
31,FEMALE,MARRIED,3,WALK-IN,0,6,CURT,Quezon City I,4.0,OWNED,8.0," 170,582.06 "," 105,200.00 "
58,MALE,WIDOW,2,WALK-IN,0,3,CURT,Quezon City I,4.0,OWNED,30.0," 189,815.54 "," 141,600.00 "
33,MALE,MARRIED,1,PDC,0,10,CURT,Quezon City I,11.0,RENTED,8.0," 466,261.12 "," 250,000.00 "
58,FEMALE,MARRIED,1,WALK-IN,0,6,CURT,Bulacan,12.0,OWNED,6.0," 627,657.24 "," 150,000.00 "
48,MALE,MARRIED,4,PDC," 89,753.86 ",3,PDNP,Past Due August 2016 to present-Inactive AO,9.0,OWNED,8.0," 601,046.06 "," 300,000.00 "
42,MALE,MARRIED,3,WALK-IN,0,4,CURT,Bulacan,10.0,OWNED,10.0," 266,182.70 "," 300,000.00 "
45,FEMALE,MARRIED,2,WALK-IN,0,1,CURT,Quezon City I,19.0,OWNED,11.0," 115,671.82 "," 140,000.00 "
