0,1,Target,AGE,GENDER,LOAN,LOAN OUTSTANDING,PORTFOLIO AT RISK,CURT/PDNP,CYCLE,BRANCH,INDUSTRY,BUSINESS,BUS. LOC. OWNERSHIP,YEARS,HOME YEARS,NUMBER OF DEPENDENTS,Cf to Loan,Coll 2 Loan,CF calc,Coll calc,CIVIL STATUS_MARRIED,CIVIL STATUS_NON-MARRIED,MOP_PDC,MOP_WALK-IN,HOME_NOT_OWNED,HOME_OWNED,2nd Review
0.007884681,0.9921153,1.0,59.0,0,250000.0,210221.0,0,0,10.0,SMB,RETAIL,OTHERS,RENTED,1,58.0,5.0,1.05,1.099,261392.0,274800.0,1,0,0,1,0,1,0.0
0.70201945,0.29798055,1.0,31.0,1,30000.0,20364.0,0,0,1.0,SMB,RETAIL,SARI SARI STORE,OWNED,1,27.0,2.0,1.9,3.0,57092.0,90000.0,0,1,1,0,0,1,0.0
0.029064357,0.97093564,1.0,45.0,1,100000.0,100000.0,0,0,13.0,SMB,MANUFACTURING,OTHERS,OWNED,1,6.0,4.0,4.55,1.57,454828.0,157000.0,1,0,1,0,0,1,0.0
0.40445513,0.5955449,1.0,47.0,1,50000.0,33941.0,0,0,3.0,SMB,RETAIL,OTHERS,OWNED,1,29.0,1.0,1.86,1.3,93140.0,65000.0,1,0,0,1,0,1,0.0
0.5892535,0.4107465,1.0,32.0,1,30000.0,17900.0,0,0,9.0,SMB,RETAIL,OTHERS,RENTED,1,8.0,4.0,2.12,1.0,63548.0,30000.0,1,0,1,0,0,1,0.0
0.07856548,0.9214345,1.0,49.0,0,30000.0,30000.0,0,0,1.0,SMB,SERVICES,CARINDERIA,RENTED,0,5.0,3.0,1.12,3.14,33732.0,94200.0,1,0,1,0,1,0,0.0
0.34584934,0.65415066,1.0,39.0,0,50000.0,17281.0,0,0,2.0,SMB,RETAIL,OTHERS,RENTED,0,3.0,0.0,4.04,1.226,202038.0,61300.0,0,1,0,1,1,0,0.0
0.14663869,0.8533613,1.0,36.0,1,50000.0,38179.0,0,0,15.0,SMB,OTHERS,OTHERS,OWNED,1,5.0,4.0,1.28,2.0,63925.0,100000.0,1,0,1,0,1,0,0.0
0.377932,0.622068,1.0,38.0,1,50000.0,50000.0,0,0,1.0,SMB,SERVICES,OTHERS,RENTED,1,8.0,2.0,1.11,0.61,55324.0,30520.0,1,0,1,0,0,1,0.0
0.29985994,0.70014006,1.0,46.0,1,200000.0,91121.0,0,0,4.0,SMB,WHOLESALE/RETAIL,OTHERS,RENTED,1,9.0,2.0,1.61,0.937,322163.0,187425.0,0,1,0,1,0,1,0.0
0.36851192,0.6314881,1.0,46.0,1,40000.0,27152.0,0,0,1.0,SMB,SERVICES,OTHERS,OWNED,1,20.0,2.0,3.11,2.014,124394.0,80550.0,1,0,0,1,0,1,0.0
0.06877905,0.93122095,1.0,56.0,1,40000.0,36832.0,0,0,12.0,SMB,RETAIL,OTHERS,RENTED,1,13.0,4.0,2.01,1.0,80424.0,40000.0,1,0,1,0,0,1,0.0
0.008354127,0.9916459,1.0,57.0,1,50000.0,50000.0,0,0,22.0,SMB,RETAIL,OTHERS,OWNED,1,56.0,1.0,1.65,1.0,82562.0,50000.0,0,1,1,0,0,1,0.0
0.10407531,0.8959247,1.0,39.0,0,150000.0,150000.0,0,0,2.0,SMB,SERVICES,OTHERS,RENTED,1,30.0,4.0,5.37,0.747,805064.0,112000.0,1,0,0,1,0,1,0.0
0.48397875,0.51602125,0.0,48.0,0,100000.0,51846.0,51846,1,3.0,SMB,OTHERS,OTHERS,RENTED,1,7.0,0.0,6.67,1.773,667442.0,177300.0,0,1,0,1,1,0,1.0
0.04739797,0.952602,1.0,36.0,1,50000.0,50000.0,0,0,1.0,SMB,RETAIL,RTW,RENTED,1,14.0,0.0,1.46,2.332,72948.0,116600.0,0,1,0,1,0,1,0.0
0.3699196,0.6300804,1.0,41.0,1,30000.0,30000.0,0,0,1.0,SMB,RETAIL,OTHERS,RENTED,1,18.0,3.0,1.25,2.848,37353.0,85428.0,1,0,1,0,0,1,0.0
